utterance,word_count,org_detected,orgs_labeled
"Its passage would neither vindicate nor amplify the arguments of the tribes, and its passage will not declare or imply that card rooms are in violation of the law. Moreover, if and when the matter comes before a court, there is no guarantee as to how a court may rule. It's important to note, however, that if the Legislature refuses to grant the legal standing needed for the courts to weigh in, we will remain no closer to a resolution of this long standing dispute.",85,TRUE,"['']"
"It should be a privilege based upon making sure someone is safe, making sure they've gone through proper background checks, and yes, my Colleague from East Nicolaus, the individual did get a CCW for a handgun and he showed up at our hotel trying to attack the State Capitol with an arsenal of firearms and weapons. And so people do slip through the cracks and this will make sure we have proper training focusing on what's allowed in California by our Supreme Courts.",83,TRUE,"['']"
"who, subsequent to that purchase, is subjected to new regulations that inhibit that intention. As an example, in South Austin we have a lot owner who owned a property eight years. He took two years to get permitted because of the ever-changing regulations on that property by the City of Austin. Due to my experience working with homeowners and the frustrations that can arise when regulations are changed on them, I see it as very beneficial bill for those same homeowners. Thank you.",83,TRUE,"['City of Austin']"
"I agree with the Assemblyman and you should take comfort in the fact that one of the directions that the Governor has given us, those of us who are working on this crisis, is to use as much data as there is available. I talked earlier with I think Senator Bonacic or, I can't remember, responded to a question about the homeless numbers. We are looking everywhere we can for every piece of data available to us about the nature of homelessness and",83,TRUE,"['']"
"There's obviously been a lot of newer trustees appointed. Senator Glazer, there's not been a single trustee I have talked to that doesn't care about this issue. I think there's a huge opportunity with this new board of trustees, with the new incoming Chancellor, somebody who actually was really effective at closing gaps at Cal State Fullerton where she was President. I do think that there's an opportunity, and I do believe part of putting this report out there is. Yes, let's celebrate.",83,TRUE,"['']"
"So the hope here, is that we would be able to encourage this activity within California Volunteers, really this is a legislation that enables them to see if they can get this program off the ground. Hopefully that would work, and we believe that it would benefit not only business, our college graduates in the STEM fields, but also All the way down through K-12 as well. With me today I have a representative from California Workforce Association to speak and support it.",83,TRUE,"['California Workforce Association']"
"They decide instead of having their own private security force, that they would contract with the Sheriff's department and we provide those contract services. This would be the exact same type of thing that we'd be able to offer to private schools, colleges, universities if they choose to do so. If they do not choose to do so, this bill does nothing to require them to do anything. If they are happy with their private the security services that they have now, they can keep those, so we urgently aye vote on this bill.",94,TRUE,"['Sheriff@s department']"
"Thank you very much. It's a pleasure speaking from my own desk for a change. I just want to note that this is Mr. Butler's last bill, he's been serving with us admirably for many years. As you may know, he is the ranking member on the Committee on Committees, a very prestigious position that we all aspire to, I'm sure. If you would congratulate Mr. Butler on this momentous accomplishment of having his last bill passed, exempting a fire company from certain requirements. I will be voting, by the way, in the affirmative.",94,TRUE,"['Committee on Committees']"
"Good afternoon, chair. Michelle Cabrera with SEIU California. We also want to thank the department and align ourselves with the comments of other stakeholders on the implementation of Health for All Kids, as well as the 1115 waiver, which we were greatly supportive of. We would also like to just briefly mention, however, that we have concerns with the Department of CCS proposal. In so far as ensuring that there's continuity on the case management and coordination portion of CCS program services and also strengthening the continuity or care requirements of the provider side.",94,TRUE,"['SEIU California','Department of CCS','CCS']"
"Chairwoman Treppa, good morning. Thank you, Assemblymember Ramos, and thank you to the Committee for the Invitation to speak on the panel. Today. Like many others in the room, the missing and murdered Indigenous people crisis hits close to home for our tribe. It is a devastating reality in our state, and I am grateful to the Committee and the California Legislature for addressing this issue. We look forward to working with you on combating the crisis. My name is Sherry Trepa.",82,TRUE,"['California Legislature']"
"NAGPRA and its state counterpart, Cal NAGPRA, are intended to protect Native American grave sites and to create a process by which Native American tribes can request the return of ancestral remains and cultural items from governmental agencies and museums. Chairman Ramos and several other Members sought an audit of CSU's compliance with NAGPRA and Cal NAGPRA, which has similarities in scope to my office's previous review of the University of California in 2020 that also found weaknesses in UC's repatriation efforts.",82,TRUE,"['NAGPRA', 'Cal NAGPRA','CSU','University of California','UC']"
"I want to thank you for your time and also for your service and everything you do for our state. I am honored to be appointed as a commissioner of the Workers' compensation Appeal Board, and I thank Governor Newsom for his trust in my service in this role. I did want to extend just a few words of thank you and gratitude first, for my husband and my children, their infinite love and support always, to my parents for their undying dedication and fight to assure their children could thrive as first generation Americans.",95,TRUE,"['Workers@ compensation Appeal Board']"
"Thank you, Madam Speaker and Members. This Bill allows our California State Universities to utilize the low income housing tax credit to create more affordable housing for our amazing CSU staff and faculty. The lack of access to affordable housing in California has increased the difficulty for CSUs to recruit and retain diverse and qualified staff. Prior legislation has provided access to the LIHTC for our California Community Colleges as well to our K-12 faculty, making AB 2005 an easy next step to provide housing. For these reasons, I respectfully ask for your aye vote.",95,TRUE,"['CSU']"
"We have shared over and over the deep concerns regarding safety and the transitions for youth, yet we still have not to this day, received DJJ transitions plan. CBO continues to offer critical resources both for youth and our counties. However, we see DJJ and probation continues to not include us in these plans. It's worrisome. Therefore, we urge you all to continue to work with, including CDCR probation judges, to look into CBOs as a step down option for youth.",81,TRUE,"['DJJ','CDCR']"
"So, we have the instrument prepared and ready to send right after June 30, 2024, to get the expenditure data. The report you're referring to was for the Department of Education to have school districts and charters report on if they have third party providers they contract with providing programs to transitional kindergarten and kindergarten students offsite off of a school campus. That was the report that was due February 1. There were some complications getting the data from the districts.",81,TRUE,"['Department of Education']"
"So that, you know, because at 30%, we're eroding core services that we provide. It used to be, we used to inspect all the projects that we designed. So now, we have to lay off inspectors. I have one inspector from Kent Vincent, been with us for over 20 years. I had to lay him off and say, Joe, you need to go work for this Rochester based MBE firm. Which he did and we have him back on another project. ",81,TRUE,"['']"
"In our simple it varied. Some districts included all of their LCFF money there federal monies any local foundation monies they may be receiving.  Some districts only included LCFS money in their plans and, then other districts didn't designate a funding source for the activities that they were pursuing, so it really ran the gamut of full inclusion designating funding source, just LCSF, and then you no destination.  So we didn't we couldn't know if it was a inclusive or not.",81,TRUE,"['']"
"That we work together between the Florida Bar, family law section, the Honorable Senator and the Honorable Representative. So that by the time this bill comes to the floor, it is something I can support, because it gives me an opportunity to learn even more, but something I can't support realizing that the children in the State of Florida will be impacted in positively oriented ways, as a result of this issue and this bill. Thank you, thank you, Mr. Chair.",81,TRUE,"['Florida Bar']"
"And those departments, if those handguns are very expensive and they have a life cycle. Those departments that can afford to replace their handguns, they will allow an individual officer to go out and buy their own handguns to use. And I also would say that if you Google Glock real quick, and you see the FBI and a number of federal agencies both State, Local and Federal and City and County that use that type of handgun that is non-roster.",81,TRUE,"['']"
"Good afternoon, Chair Allen and Committee Members. My name is Lauren Kubiak, and I'm a senior scientist at the Natural Resources Defense Council NRDC. California's industrial sector is made up of food and beverage manufacturers, cement and gas plants, and more. It is the state's second-largest contributor to climate change after transportation, making up 22% of California's greenhouse gas emissions. Industrial emissions come from burning fossil fuels to generate Low and high-temperature heat, as well as chemical processes like calcination.",80,TRUE,"['National Resources Defense Council']"
"That begins with our prevention efforts happening largely through the California Family First Prevention Services Program, which aims to shift the welfare system to a system that prioritizes prevention and early intervention. This work continues via our efforts to shift to be centered in Kin-First Culture because we know that children in kinship care experience fewer health and mental health concerns, better academic outcomes, greater placement stability, and a significantly lower likelihood of re-entering care within 12 months of exit.",80,TRUE,"['California Family First Prevention Services Program']"
"That's our standardized emergency management systems course, which teaches the state construct for running emergency management. Additionally, 15 staff from the various utilities have completed or are in the process of completing what we call a type three callow ES emergency operations center credential. The 2019 to 20 Budget act included a $75,000,000.01 time General Fund appropriation to support state and local government efforts to protect public safety, vulnerable populations and improve resiliency in response to utility led psps actions.",80,TRUE,"['']"
"The policy is consistent with position SEIU has taken on financial transparency for over two decades, position that did not change with the establishment of the Office of Healthcare Affordability. This policy is also consistent with actions taken by several states across political lines. None of those states have seen antitrust issues claimed by our opposition arise, and more importantly, we have not seen antitrust issues arise in our own state where summary financial information is already public for hospitals.",80,TRUE,"['SEIU','Office of Healthcare Affordability']"
"Chairman Cook and members again, thank you so much for your time this afternoon and your patience in hearing the bill. I want to thank all the folks that were here to testify obviously on behalf of Its well either way. And I think, Mr. Chairman, that a couple thoughts are important for the Committee to reflect on. One, I don't think there's any discussion any further about whether or not this is legitimate, so to speak, as an issue.",80,TRUE,"['']"
"We have six more items on Third Reading today, and I know we want to get to our Committees on time, so we'll resume the Daily File in just a few minutes. All right, Members, we are back on the file, back to business. Going to get here out of here on time. We're going to pass and retain on File Item 30. And Ms. Aguiar-Curry, this is File Item 31: AB 498 for purpose of amendments. Clerk will read.",80,TRUE,"['']"
"To make things more efficient and more economical, we can probably reduce the price right now, if you instruct DMV to do it. Ironically, the $25 reward's the least efficient. It may cost them $25, it may only cost us 20, why would you inflate it? Maybe we should let the fee be competitive. We'll take our chances under those circumstances. We are opposed to the bill unless amended to preserve the existing marketplace, not to disrupt it. Thank you.",80,TRUE,"['DMV']"
"That is definitely helpful. I mean, obviously, in transportation, I'm just trying. I'm gonna stay in my lane here. I know the other privacy issues are with the other Committee, so I'll be voting for it right now, but I'll just urge to make sure you try to take care of any other concerns on the privacy side as possible before it gets to the floor. But obviously, great information. I see why commercial users would want to use it.",80,TRUE,"['']"
"Yeah about 28 total in New York, potential growth to 100 plus around the state. And as technology continues to evolve, smaller farmers can justify the investment. The other thing to add is in the use of organic substrates as an additional element to feed the digester, so instead of putting organics into the solid landfills we can transport them into the anaerobic digesters. Something the DEC is very interested in and makes a lot of sense for our industry.",80,TRUE,"['DEC']"
"I'm a husband and a father. After having the opportunity to live other places and travel the world, we chose to live in Bear County. And we send our kids to Barney Schools. Now the City of San Antonio wants to force me to live in the city limits. When we talked about this at our diner table, my ten-year-old daughter said, daddy, that sounds un-American. I'm not sure I could put it any better than that. While I'm not a native Texan, I was born overseas. My parents got me here as fast as they could.",97,TRUE,"['City of San Antonio']"
"Madam Chair Member Scott Wetch on behalf of the more than 200,000 members of the State Association of Electrical Workers, the California State Pipe Trades Council, the Western States Council of Sheet Metal Workers, the California Coalition of Utility Employees, and the Elevator Constructors Union, you can support housing without stripping worker protections that are in law today in collective bargaining. We call that a takeback. This bill is a takeback and it should be voted down. Thank you. ",79,TRUE,"['State Association of Electrical Workers','California State Pipe Trades Council','Western States Council of Sheet Metal Workers','California Coalition of Utility Employees','Elevator Constructors Union']"
"I'm really grateful to our various legislators, including Senator Wiener, Chair Haney and Assemblymember Ting, who all are carrying really important pieces of legislation to help revitalize our downtown, and I hope you all will explore those pieces of legislation and seriously consider supporting them. Mayor Steinberg said, I want to just quickly touch upon the three things that I also think that the state can help with in order to help move us forward to revitalize our downtown.",79,TRUE,"['']"
"It's a restoration project that we are now in, we are just finishing up our third carriage road having invested nearly a million and a half dollars and we're looking at a major, major connection. And then OSI and the state, as you may have seen this fall, have announced that we are partnering to build a visitor center at Minnewaska. Because if you know Minnewaska it's the grounds of the old hotel resorts where there's still parking lots,",79,TRUE,"['OSI']"
"The administration's goals align with those proposed in the staff's recommendation. While the administration concurs with the expectation that CSU expend access for more students, we are concerned about setting total enrollment targets and articulating total enrollment as the measure of access. As we've stated in prior hearings, we believe that the state can increase access by graduating current students in a timely way. And therefore, opening seats for new students. So, thank you. Happy to answer any questions.",79,TRUE,"['CSU']"
"A budget is a statement of values and principles. It is also the Legislature making choices with other people's money, with the taxpayers dollars, and to do so Without also addressing the taxpayers ability to have faith in the Independence of this government is an enormous mistake. Now it's an enormous mistake that was made last year as well and to all my colleagues, the hour is not yet late but something tells me it will be soon enough.",79,TRUE,"['Legislature']"
"Thank you, Mr. Speaker and members. Today, I stand in opposition to AB 42. Although I appreciate the author's intent, a wholesale dismantling of the current bail system in this manner will not help anybody. A lot of folks have spoken. I was a jail committer. I ran the jail for the Sacramento County Sheriff's Department downtown, about three blocks away, 16 stories tall, 2,500 inmates, I had 500 employees working for me, and about an $80 million budget.",79,TRUE,"['Sacramento County Sheriff@s Department']"
"Thank you. All right, others in support. Seeing no one else approaches the microphone, let's turn to the opposition. If you're opposed to SB 1050, please approach the microphone. Seeing no one approach the microphone, let's bring it back to Committee for questions, comments by Committee Members. Questions or comments? Seeing no questions or comments. Is there a motion, Senator Durazo has moved the Bill. All right. Senator Bradford, would you like to close? Oh, I'm sorry, Senator Niello. ",79,TRUE,"['']"
"you would otherwise end up in a situation where the one parent is defending themselves against the exact same accusations in multiple courts at the same time depending on which kid you're talking about. And so it consolidates those into a single court and I'll mention that as Representative Burrows talked about, some of this language is floating around in other bills on the Senate side and so there have been changes made to some of these things and",79,TRUE,"['']"
"So I think for many people, the equation is changing about just in their decisions about where they want to spend their dollars. And is the broadband service more important to them, and in fact, did they prefer it over having traditional video service. So, I think it's really a differential and just I want to also say that our baseline service, our sort of entry level service for broadband is 25 meg, so it is the FCC standard.",79,TRUE,"['FCC']"
"I'm happy to answer any questions. I know it's been a long morning and there have been many bills discussed already. So of course, I'm happy to talk about any feature of the process. But I just want to make one quick point. Right now, when a notary validates the identity of a person, they do it by looking at a driver's license. That's basically how they do it. We know, the FBI tells us, law enforcement tells us, fraudsters are way more sophisticated than they used to be. And driver's licenses are much more easily cheated than",98,TRUE,"['FBI']"
