oid,name
-12768,"White Energy Holding Company, LLC"
-12767,WHITE CAP CONSULTING LLC
-12766,Whitebox Advisors LLC
-12765,Whirlpool Corporation
-12764,"Wheels Financial Group, LLC DBA Loan Mart"
-12763,Wheatland Elementary School District
-12762,W. Hayward Burns Institute
-12761,Weyerhaeuser Company
-12760,We the People Rising
-12759,Westwood Management Corp.
-12758,Westwood Charter School
-12757,WESTWAY TOWING
-12756,West Valley Water District
-12755,West texas ground water management alliance
-12754,"West Texas Gas, Inc."
-12753,West Side Waste Management
-12752,Westside Union School District
-12751,"Westside Sober LIving Centers, Inc."
-12750,"West Sacramento, City Of"
-12749,"West Sacramento, CA"
-12748,West Point Underwriters 
-12747,Westpark Associates
-12746,Weston Insurance Holding Corporation
-12745,Weston A. Price Foundation
-12744,"Westminster, City Of"
-12743,Westlands Water District
-12742,"Westlands Solar Park, LLC"
-12741,Westlands
-12740,West Lake Hills City Council
-12739,West Kern Community College District
-12738,"Westhoff, Cone, and Holmstedt"
-12737,West Hills Community College District
-12736,West Harris County MUD No. 21
-12735,Westfield
-12734,Western Wood Preservers Institute
-12733,Western University of Health Sciences College of Optometry
-12732,Western University Of Health Sciences
-12731,Western United Dairymen St PAC
-12730,Western United Dairymen
-12729,"Western Union Financial Services, Inc."
-12728,Western Union
-12727,Western States Trucking Association
-12726,Western State Sheet Metal Workers
-12725,Western States Petroleum Association
-12724,"Western States Council Sheet Metal, Air, Rail And Transportation"
-12723,Western States Council Of Sheet Metal Workers' International Association
-12722,Western States Council Of Sheet Metal Workers
-12721,Western Riverside Council Of Governments
-12720,Western Regional Advocacy Project
-12719,Western Propane Gas Association PAC
-12718,Western Propane Gas Association
-12717,Western Plant Health Association PAC
-12716,Western Plant Health Association
-12715,Western Pacific Roofing Corporation
-12714,Western Outdoor News
-12713,Western Occupational & Environmental Medical Association
-12712,Western Mutual Insurance Company
-12711,Western Municipal Water District
-12710,Western Marine Association Inc.
-12709,Western Manufactured Housing Communities Assn. PAC
-12708,Western Manufactured Housing Communities Association
-12707,"Western Line Constructors Chapter, Inc., Neca, Inc."
-12706,Western Law Center on Law and Poverty
-12705,Western Interstate Commission For Higher Education
-12704,Western Insurance Agents Association
-12703,"Western Insurance Administrators, Inc."
-12702,Western Independent Refiners Association
-12701,Western Home Furnishings Association
-12700,Western Health Advantage
-12699,Western Growers Political Action Committee - California
-12698,Western Growers PAC - California
-12697,Western Growers Association
-12696,Western Governors University
-12695,Western Fire Protection
-12694,Western Fairs Association
-12693,Western Energy Systems
-12692,Western Electrical Contractors Association Western Growers Association
-12691,"Western Electrical Contractors Assn, Inc PAC"
-12690,"Western Electrical Contractors Assn, Inc. Good Gov't PAC"
-12689,"Western Electrical Contractors Association, Inc. Good Government Political Action Committee"
-12688,"Western Electrical Contractors Association, Inc., Good Government PAC"
-12687,Western Electrical Contractors Association (Weca-Iec)
-12686,Western Electrical Contractors Association
-12685,"Western Dental Services, Inc."
-12684,Western Dental
-12683,Western Contract Furnishers
-12682,Western Center on Law & Poverty [CO-SPONSOR]
-12681,Western Center on Law and Poverty - sponsor
-12680,Western Center on Law and Policy
-12679,western center of law & poverty
-12678,Western Center for Law and Poverty
-12677,Western Carwash Association PAC
-12676,Western Car Wash Association
-12675,"Western Career College, Inc."
-12674,Western Boaters Safety Group
-12673,Western Association Of Venture Capitalists
-12672,Western Association Of Schools & Colleges
-12671,Western Association For College Admission Counseling (Wacac)
-12670,Western Association for College Admissions Counseling
-12669,Western Asset Management Company
-12668,"Western Alliance Of Farmworker Advocates, Inc."
-12667,Western Agricultural Processors Assn. PAC
-12666,Western Agricultural Processors Association
-12665,Western Agricultural Processers Association
-12664,Westerman Law Group
-12663,WestEnd Strategies
-12662,WestEd
-12661,West Dallas Investments L.P.
-12660,West Covina Firefighters Association PAC
-12659,"West Covina, City Of"
-12658,West Cost Lumber & Building Material Association
-12657,West Contra Costa Unified School District
-12656,West Contra Costa Health Care District Dba Doctors Medical Center
-12655,West Coast University
-12654,West Coast Property Management
-12653,West Coast Power LLC
-12652,West Coast Lumber & Building Material Association PAC
-12651,West Coast Lumber & Building Material Association
-12650,"West Coast Leasing, LLC"
-12649,West Coast Children's Clinic
-12648,"West Coast Chapter, Institute of Scrap Recycling Industries"
-12647,West Coast Arborists
-12646,"WESTCHASE LAW GROUP, PA"
-12645,"WestCare Foundation, Inc"
-12644,"WestCare-GulfCoast Florida, Inc"
-12643,West Basin Water Association
-12642,West Basin Municipal Water District
-12641,West
-12640,"Werner Enterprises, Inc."
-12639,WellPoint
-12638,Wente Vineyard
-12637,Wendy's International Inc.
-12636,"Wendy Bloom, Staff RN, Benioff Childrens Hospital Oakland"
-12635,Wendel Rosen Black & Dean
-12634,Welton Investment Partners LLC
-12633,Wellstone Democratic Renewal Club
-12632,WellspringRX
-12631,Wellspace Health
-12630,Wellness International Network Ltd
-12629,"Wellington Management Company, LLP"
-12628,Wells Fargo Securities
-12627,"Wells Fargo Bank, N.A."
-12626,Wells Fargo Bank
-12625,Wells Fargo & Company Employee PAC-Federal
-12624,Wells Fargo & Co Employee PAC
-12623,Wells Fargo & Co Employee Federal PAC
-12622,Wells Fargo
-12621,Welldynerx Inc
-12620,"Wells Capital Management, Inc."
-12619,Weingarten Children Center
-12618,Weingart Center Association
-12617,Weider Health & Fitness
-12616,"Weideman Group, Inc."
-12615,WeedMaps
-12614,We Drive U Inc.
-12613,Webmd Corporation
-12612,Webcor Builders
-12611,"Web.com Group, Inc."
-12610,WEBBER
-12609,WEAVER & TIDWELL
-12608,WEAVE
-12607,Wellcare Health Plans
-12606,"Wcm, Inc."
-12605,WCI COMMUNITIES
-12604,"WCS, a subsidiary of Valhi, Inc."
-12603,WC Group LLC
-12602,WBH Ranches LP
-12601,W. Bailey Smith Law Practice
-12600,Waymo
-12599,Wave Inc.
-12598,"Wattshealth Foundation, Inc."
-12597,Watts Health Foundation Creditor Trust Dsi Inc. Trustee
-12596,Watts Century Latino Organization
-12595,Watsonville Pilots Association
-12594,"Watsonville, City Of"
-12593,"Watsonville, California"
-12592,"Watson Pharmaceuticals, Inc."
-12591,Watson Land Co
-12590,"Watersmart Software, Inc."
-12589,Watershed Conservation Authority
-12588,Water Reuse California
-12587,Water Replenishment District Of Southern California
-12586,Water Quality Association
-12585,Watermens Alliance
-12584,"Waterman & Associates, LLP"
-12583,Water Foundation  [SPONSOR]
-12582,"WaterFleet, LLC"
-12581,Watereuse Foundation
-12580,Watereuse Association
-12579,Water Board
-12578,"Waters & Kraus, LLP"
-12577,Waste Management of Texas Inc.
-12576,Waste Management Inc of Florida
-12575,"Waste Management, Inc. & Affiliated Entities"
-12574,Waste Management Inc  Affiliated Entities
-12573,Waste Management
-12572,WASTE CONTROL SPECIALISTS
-12571,"Waste Connections, Inc."
-12570,Washoe Tribe Of Nevada & California
-12569,Washington Unified School District
-12568,Washington Township Health Care District
-12567,Washington Mutual
-12566,"Washington Group International, Inc."
-12565,Warner Pacific Insurance Service
-12564,Warner Mountain Lumber Inc.
-12563,Warner Bros. Entertainment Inc
-12562,Wareham Property Group
-12561,"Ware Disposal, Inc."
-12560,WARDLAW CLAIMS SERVICE LLP
-12559,Warburg Pincus LLC
-12558,"Walter and Prince, LLP"
-12557,Walt Disney Company
-12556,Walnut Valley Unified School District
-12555,"Walnut Creek, City Of"
-12554,Walnut City Of
-12553,Walnut Avenue Family & Womens Center
-12552,Walmart Stores Inc.
-12551,Walmart
-12550,"Walkup, Melodia, Kelly & Schoenberger"
-12549,Walk San Francisco
-12548,Walk Sacramento
-12547,Walk and Bike Mendocino
-12546,Walgreen Co.
-12545,Wal-Mart Storesinc.
-12544,Wal-Mart
-12543,Wakeland Housing and Development Corporation
-12542,Wadhwani Asset Management LLP
-12541,Wadham Energy LP
-12540,Wackenhut Corrections Corporation
-12539,"Wachtell, Lipton, Rosen and Katz"
-12538,Wachovia Corporation
-12537,W2 Design Inc.
-12536,"Vulcan Research, Llc, A California Corporate"
-12535,"Vulcan Materials Company, Western Division"
-12534,Vulcan Materials Company
-12533,"Vpsi, Inc."
-12532,Voya Services Company
-12531,Voya Investment Management Co. LLC
-12530,Voting Rights Task Force
-12529,Vote Solar
-12528,Voters Injured At Work
-12527,Voter
-12526,"VOTE Planned Parenthood Northern California, A Project of Planned Parenthood Northern California Action Fund"
-12525,Vote Hemp Inc.
-12524,"Vonlane, LLC"
-12523,Volunteer
-12522,"Volkswagen Group Of America, Inc."
-12521,Voices For Progress Education Fund
-12520,Voices for Progress
-12519,Voices
-12518,VM Ware
-12517,"Vmr Products, LLC"
-12516,VITALMD FOR RESPONSIBLE GOVERNMENT
-12515,VITALMD FLORIDA
-12514,Vital Immigrant Defense Advocacy and Services
-12513,Vital Data Technology
-12512,Vitas Innovative Hospice Care
-12511,Vistra Energy Corp.
-12510,Vista Unified School District
-12509,Vista Garden LLC
-12508,"Vista Equity Partners Management, LLC"
-12507,"Vista Equity Partners Iii, LLC"
-12506,Visiting Nurse And Hospice Care
-12505,VisitDallas
-12504,"Visiontek, Inc."
-12503,Vision Service Plan
-12502,Visionquest Industries Inc. Dba Vq Orthocare
-12501,Vision for Compton: Re-Elect Aja Brown for Mayor of Compton 2017
-12500,Visco Financial Inc. DBA Visco Financial Insurance Services
-12499,Visa U.S.A. Inc.
-12498,Visalia Unified School District
-12497,Visa
-12496,Virtual Market Enterprises Inc
-12495,"Viridis Fuels, LLC"
-12494,"VIP Rubber Company, Inc"
-12493,Vinci Partners Usa LLC
-12492,Vintage Paving Company
-12491,"Vinson and Elkins, LLP"
-12490,"Vinfolio, Inc."
-12489,Villara Building Systems
-12488,"Village South, Inc, The"
-12487,Village of Indian Creek
-12486,"Village Family Services, Inc."
-12485,"Village Connect, Inc."
-12484,"Village Club, The"
-12483,Village Christian Schools
-12482,Villa Esperanza Services
-12481,ViiV Healthcare
-12480,Vigilant Solutions
-12479,Viflx
-12478,Vietnam Veterans of American - CA State Council
-12477,"Vietnam Veterans Of America, California State Council"
-12476,Vietnam Veterans of America - California State Council
-12475,Vietnam Veterans of America - California Council
-12474,Vietnam Veterans of America
-12473,Viet Heritage Society
-12472,Vietbay TV
-12471,Viejas Band Of Kumeyaay Mission Indians
-12470,Viejas Band of Kumeyaay Indians
-12469,Video Game Technologies
-12468,"Video Game Impact, Inc. an Entertainment Software Assoc. Affiliate"
-12467,"Video Game Impact, Inc. (an Entertainment Software Association affiliate)"
-12466,"Video Game Impact, Inc."
-12465,Victory Capital Management Inc.
-12464,VICTORY
-12463,"Victorville, City Of"
-12462,Victor Valley Community Hospital
-12461,Victor Treatment Centers
-12460,Victorian Care Medical Group Inc.
-12459,Victim Compensation Government Claims Board
-12458,Victims Compensation and Government Claims Board
-12457,Vickie Scott
-12456,Viatical Life And Settlement Association Of America
-12455,Viasys Healthcare
-12454,Viant Inc.
-12453,Via Motors
-12452,VFW Department of California
-12451,VFW-Department of California
-12450,VFW
-12449,Veyo
-12448,Veterinary Pet Insurance Company
-12447,Veteran's Resource Center of America
-12446,Veterans of Foreign Wars- Department of California
-12445,Veterans of Foreign Wars Post 134
-12444,"Veterans Of Foreign Wars, Dept. Of California"
-12443,Veterans of Foreign Wars - Department of CA
-12442,Veterans Legal Clinic
-12441,Veteran's Groups
-12440,Veterans County Service Officers Association of Texas
-12439,Veterans Association of North County
-12438,Veterans Affairs
-12437,"Vestcor Companies, Inc., The"
-12436,VESTCOR DEVELOPMENT INC
-12435,Verus Financial
-12434,Vertex Pharmaceuticals Incorporated
-12433,VERTEX PHARMACEUTICALS
-12432,Vernon Property Association
-12431,"Vernon, City Of"
-12430,Vermillion Asset Management LLC
-12429,"Vermeulen Governmental Relations, Philip M."
-12428,Verizon Wireless
-12427,"Verizon Corporate Resources Group, LLC"
-12426,Verizon Communications Inc. Good Gov't Club - California
-12425,Verizon Communications Inc. Good Govt. Club
-12424,Verizon Communications Inc. Good Government Club CA
-12423,Verizon Communications Inc. Good Government Club - California
-12422,"Verizon Communications, Inc And Its Affiliates"
-12421,"Verizon Communications, Inc"
-12420,Verizon
-12419,Veritext Corp
-12418,Veritec Solutions LLC
-12417,"Veritas Technologies, LLC"
-12416,VeriSign Inc.
-12415,Verdeco Recycling
-12414,Vera Institute Of Justice
-12413,"Veolia Transportation Services, Inc. And Its Affiliate, Veolia Transportation Maintenance And Infrastructure, Inc."
-12412,"Veolia Transportation Maintenance And Infrastructure,  Inc."
-12411,"Veolia Transportation, Inc."
-12410,Venture Vehicles
-12409,Venture Technologies
-12408,Venture Catalyst Incorporated
-12407,Ventura Water A Department Of The City Of San Buenaventura
-12406,Ventura Port District
-12405,Ventura County Waterworks District No. 1
-12404,Ventura County Transportation Commission
-12403,"Ventura, County Of"
-12402,Ventura County Employees' Retirement Association
-12401,Ventura County Board of Supervisors
-12400,Ventura County Board Of Education
-12399,Ventura County Air Pollution Control District
-12398,Ventura County Agricultural Association
-12397,Venor Capital Management LP
-12396,"Venoco, Inc."
-12395,Venice Community Housing Corporation
-12394,"Venable Royalty, Ltd."
-12393,"Vectis Strategies, LLC"
-12392,"Vcat, LLC"
-12391,Vasquez & Company LLP
-12390,Varsity Brands
-12389,Varner Bros.
-12388,Various individuals
-12387,Varian Medical Systems
-12386,Variable Annuity Life Insurance Company
-12385,"Varde Partners, Inc."
-12384,Vantage Oncology
-12383,"Vanir Group Of Companies, Inc."
-12382,VANGUARD FINANCE CO
-12381,"Vanguard Car Rental Usa, Inc."
-12380,"V&R Investment Group, Inc."
-12379,VANDERGRIFT-WILLIAMS FARMS
-12378,Vanacore International
-12377,Val Verde Sheriff's Office
-12376,Valley Wide Recreation and park district
-12375,Valley Water Company
-12374,VAlley Vista Services
-12373,Valley Presbyterian Hospital
-12372,Valley Oasis
-12371,Valley Oak Childrens Services
-12370,VALLEY INDUSTRY AND COMMERCE ASSOCIATION
-12369,Valley Improvement Projects
-12368,Valley Fever Survivors
-12367,Valley Economic Development Centers
-12366,Valley Crime Stopper
-12365,Valley Clean Air Now
-12364,Valley Children Healthcare
-12363,Valley Center Municiple Water District
-12362,Valley Ag Water Coalition
-12361,Valero Services Inc. and Affiliated Entities
-12360,"Valero Services, Inc."
-12359,Valero Energy Corporation
-12358,Valero
-12357,u University of California
-12356,UT System
-12355,"Us Travel Insurance Association, Inc."
-12354,U.S. Travel Association
-12353,UT MD Anderson Cancer Center
-12352,UTLA - Political Action Council of Educators United Teachers Los Angeles
-12351,"Utility Workers Union Of America, Local 522"
-12350,"Utility Workers Union Of America, Local 246"
-12349,"Utility Workers Union Of America, Local 132"
-12348,Utility Reform Networkthe
-12347,Utility Consumers Action Network
-12346,UtilityAPI
-12345,"Utiliquest, LLC"
-12344,UTICA NATIONAL INS
-12343,"U.S. Term Limits, Inc."
-12342,UT Austin
-12341,Ust Public Affairs Inc.
-12340,U.S. Senator Dianne Feinstein
-12339,Uscl Corporation
-12338,"USCB, America, Inc."
-12337,Uscb Inc.
-12336,Usa Table Tennis
-12335,Usa Swimming
-12334,"USANA Health Sciences, Inc."
-12333,Usagain
-12332,Usa Funds
-12331,USAA
-12330,"Urix, Inc."
-12329,URGE: Unite for Reproductive & Gender Equity
-12328,U.S. Renal Care
-12327,"Urban League of Broward County, Inc."
-12326,Urban Futures Incorporated
-12325,URBAN DEVELOPMENT LLC
-12324,Urban Creeks Council Of California
-12323,Urban Counties of California
-12322,Urban Counties Caucus
-12321,Urban Corp of San Diego County
-12320,"Urban & Environmental Policy Institute, Occidental College"
-12319,Urban & Environmental Policy Institute at Occidental College
-12318,Urs Corporation
-12317,UPTE-CWA Local 9119
-12316,UPSTREAM Policy Institute
-12315,Upstate California Connect Consortium
-12314,UPSPAC- California
-12313,UP Railroad
-12312,Upper Valley Disposal & Recycling
-12311,Upper San Gabriel Valley Municipal Water District
-12310,UPS PAC - California
-12309,U.S. Post Office
-12308,U.S. Postal Service
-12307,"Upland, City Of"
-12306,UPS
-12305,u None received.
-12304,Unknown
-12303,Univ. of Southern California
-12302,"University Professional & Technical Employees, UPTE-CWA 9119"
-12301,University Police Chiefs Association
-12300,University of the Pacific
-12299,"University of Texas, Rio Grande Valley"
-12298,"University of Texas, Austin"
-12297,University Of Southern California The
-12296,University of Southern CA
-12295,University of San Francisco
-12294,University of San Diego School of Law
-12293,"UniversityofMoldova.Us, Inc."
-12292,University of Miami
-12291,University of La Verne
-12290,"University of Florida Foundation, Inc."
-12289,University of Florida
-12288,"University of Central Florida Foundation, Inc"
-12287,University Of California Student Association
-12286,University of California Santa Cruz
-12285,"University of California, San Francisco Medical Center"
-12284,University of California San Francisco
-12283,University of California San Diego
-12282,"University of California, Riverside"
-12281,"University of California, Office of the President"
-12280,University of California  Merced
-12279,"University of California, Los Angeles"
-12278,"University of California, Irvine School of Law"
-12277,"University of California, Irvine"
-12276,"University Of California, Hastings College Of The Law"
-12275,University of California  Hastings College of Law
-12274,University of California Davis
-12273,University of California Berkeley
-12272,University of California Alzheimers Disease Research Center
-12271,University of California
-12270,"University Medical Service Association, Inc"
-12269,University High School
-12268,University Health Systems San Antonio
-12267,"Universal Truck Driving School, Inc."
-12266,UNIVERSAL SECURITY MONITORING INC
-12265,"Universal Rag Supply, Inc."
-12264,Universal Property and Casualty Insurance Company
-12263,Universal Paragon Corporation
-12262,Universal Music Group
-12261,UNIVERSAL MANAGEMENT AGENCY LLC
-12260,UNIVERSAL LAND TITLE LLC
-12259,"Universal Health Services, Inc."
-12258,UNIVERSAL DESIGN & EDUCATION NETWORK
-12257,"Universal City Development Partners, LTD. dba Universal Orlando"
-12256,Universal Care
-12255,UNIVERSAL BUSINESS CONSULTANTS
-12254,"Universal Autograph Collectors Club, Inc."
-12253,Unity Shoppe
-12252,"Unity Care Group, Inc."
-12251,"Unity&Variety, Inc."
-12250,Unitek College
-12249,"Unite Here, Local 11"
-12248,UNITE HERE International Union
-12247,Unite Here! Afl-Cio
-12246,Unite Here
-12245,Unite for Reproductive and Gender Equity
-12244,United We Dream - Houston
-12243,"United We Dream,"
-12242,United Way of San Diego County
-12241,United Ways Of California
-12240,United Water Conservation District
-12239,"United Union of Roofers, Waterproofers & Allied Workers"
-12238,UNITED GROUP UNDERWRITERS
-12237,United Trustees Association
-12236,United Transportation Union
-12235,United Technologies Corporation
-12234,United Teachers Los Angeles
-12233,"United Surgical Partners International, Inc."
-12232,UNITED SUPERMARKETS
-12231,United Steel Workers Local 675
-12230,United Steelworkers District 12
-12229,United Steelworkers
-12228,"United States Senator, Dianne Feinstein"
-12227,United States Senator Barbara Boxer
-12226,United States Securities & Exchange Commission
-12225,United States Postal Service
-12224,United States Organizations For Bankruptcy Alternatives
-12223,United States Green Building Council California Chapter
-12222,United States Geological Survey
-12221,"united states congressman, brad sherman"
-12220,United States Air Force
-12219,United Services Automobile Association (Usaa)
-12218,"United Reporting Publishing, Inc."
-12217,"United Rentals, Inc."
-12216,United Parcel Service PAC
-12215,United Parcel Service Federal PAC (UPS PAC)
-12214,United Parcel Service
-12213,United Nurses Associations Of CaliforniaUnion Of Health Care Professionals
-12212,United Nurses Association of California / Union of Health Care Professionals PAC (UNAC PAC) Small Contributor Committee
-12211,United Nurses Association of California/ Union of Health Care Professionals PAC (UNAC PAC)
-12210,United Nurses Association of California/Union of Health Care Professionals PAC
-12209,United Nurses Association Of California/Union Of Health Care Professionals
-12208,United Nurses Associations of California
-12207,United Methodist Church of the California-Nevada Annual Conference
-12206,United Laguna Hills Mutual
-12205,United Indian Health Services
-12204,United Hospital Association
-12203,"United Healthcare Services, Inc. Dba Ovations, Inc."
-12202,"United Healthcare Services, Inc. Dba Evercare"
-12201,"United Healthcare Services, Inc."
-12200,United Healthcare
-12199,United Health Group
-12198,United Food and Commercial Workers Western States Council Candidate PAC
-12197,United Food And Commercial Workers Western States Council
-12196,united food and commercial workers union local 770
-12195,United Food & Commercial Workers Union Local 135 PAC
-12194,United Food and Commercial Workers Union
-12193,United Food and Commercial Workers State Council
-12192,United Food and Commercial Workers Local 5 PAC
-12191,"United Food & Commercial Workers International Union, AFL-CIO, CLC"
-12190,United Food and Commercial Workers (UFCW) Western States Council Small Contributor Committee
-12189,United Food And Commercial Workers (Ufcw)
-12188,United Food and Commercial Workers
-12187,United Farm Workers Of America Afl-Cio
-12186,"United Domestic Workers of America, AFSCME Local 3930"
-12185,United Domestic Workers Of America Afscme AflCio
-12184,"United Domestic Workers Of America, Afscme, Afl-Cio"
-12183,United Domestic Workers of America Action Fund Small Contributor Committee
-12182,United Domestic Workers AFSCME Local 3930
-12181,United Domestic Workers
-12180,United Contractors
-12179,"United Continental Holdings, Inc."
-12178,United Coalition For Motor Club Safety
-12177,United Cerebral Palsy of Los Angeles
-12176,United Brotherhood Of Carpenters
-12175,United Brands Company
-12174,United Auburn Indian Community
-12173,United Animal Nations D.B.A. Redrover
-12172,United Anglers Of Southern California
-12171,United Anglers
-12170,United Airlines
-12169,UnitedAg
-12168,Unisys Corporation
-12167,"Union Point Advisors, LLC"
-12166,Union Pacific Railroad
-12165,Union Pacific Corporation
-12164,Union of Healthcare Professionals
-12163,Union Of Concerned Scientists
-12162,Union of American Physicians and Dentist Medical Action Committee Small Contributor Committee
-12161,Union of American Physicians and Dentists Medical Action Committee
-12160,Union Of American Physicians And Dentists
-12159,Union International Food Company
-12158,Unimin Corporation
-12157,Unifund
-12156,Unifrax 1 LLC
-12155,uniform law commission
-12154,Unidentified
-12153,Underground Service Alert Of Southern California
-12152,unchained at last
-12151,U.S. Navy
-12150,U.S. Mortgage Insurers
-12149,US Med Trade Hospice
-12148,"Umarex Usa, Inc."
